fld0,fld1,keep
`accessRights`,accessRights,FALSE
`associatedReferences`,associatedReferences,FALSE
`basisOfRecord`,basisOfRecord,FALSE
`bibliographicCitation`,bibliographicCitation,FALSE
`catalogNumber`,catalogNumber,FALSE
`class`,taxa_class,TRUE
`collectionCode`,collectionCode,FALSE
`collectionID`,collectionID,FALSE
`continent`,continent,FALSE
`coordinatePrecision`,coordinatePrecision,FALSE
`coordinateUncertaintyInMeters`,coordinateUncertaintyInMeters,FALSE
`countryCode`,countryCode,FALSE
`county`,county,FALSE
`dataGeneralizations`,dataGeneralizations,FALSE
`datasetID`,datasetID,TRUE
`dateIdentified`,dateIdentified,FALSE
`decimalLatitude`,decimalLatitude,TRUE
`decimalLongitude`,decimalLongitude,TRUE
`depth`,depth,TRUE
`dynamicProperties`,dynamicProperties,FALSE
`establishmentMeans`,establishmentMeans,FALSE
`eventDate`,eventDate,TRUE
`eventID`,eventID,FALSE
`eventTime`,eventTime,FALSE
`family`,taxa_family,TRUE
`fieldNotes`,fieldNotes,FALSE
`fieldNumber`,fieldNumber,FALSE
`footprintWKT`,footprintWKT,FALSE
`forma`,forma,FALSE
`genus`,taxa_genus,TRUE
`geodeticDatum`,geodeticDatum,FALSE
`habitat`,habitat,FALSE
`higherClassification`,higherClassification,FALSE
`higherGeography`,higherGeography,FALSE
`id`,id,TRUE
`identificationQualifier`,identificationQualifier,FALSE
`identificationRemarks`,identificationRemarks,FALSE
`identifiedBy`,identifiedBy,FALSE
`individualCount`,individualCount,TRUE
`infraclass`,infraclass,FALSE
`infrakingdom`,infrakingdom,FALSE
`infraorder`,infraorder,FALSE
`infraphylum`,infraphylum,FALSE
`institutionCode`,institutionCode,TRUE
`institutionID`,institutionID,FALSE
`kingdom`,taxa_kingdom,TRUE
`language`,language,FALSE
`lifeStage`,lifeStage,FALSE
`locality`,locality,FALSE
`locationRemarks`,locationRemarks,FALSE
`materialSampleID`,materialSampleID,FALSE
`maximumDepthInMeters`,maximumDepthInMeters,FALSE
`minimumDepthInMeters`,minimumDepthInMeters,FALSE
`modified`,modified,FALSE
`municipality`,municipality,FALSE
`nameAccordingToID`,nameAccordingToID,FALSE
`occurrenceID`,occurrenceID,TRUE
`occurrenceRemarks`,occurrenceRemarks,FALSE
`occurrenceStatus`,occurrenceStatus,FALSE
`order`,taxa_order,TRUE
`originalscientificname`,originalscientificname,TRUE
`otherCatalogNumbers`,otherCatalogNumbers,FALSE
`ownerInstitutionCode`,ownerInstitutionCode,FALSE
`parvorder`,parvorder,FALSE
`phylum`,taxa_phylum,TRUE
`qc`,qc,TRUE
`recordedBy`,recordedBy,FALSE
`recordNumber`,recordNumber,FALSE
`references`,references,FALSE
`resource_id`,resource_id,TRUE
`rights`,rights,FALSE
`rightsHolder`,rightsHolder,FALSE
`scientificName`,scientificName,TRUE
`scientificNameAuthorship`,scientificNameAuthorship,FALSE
`scientificNameID`,scientificNameID,TRUE
`section`,section,FALSE
`sex`,sex,TRUE
`species`,taxa_species,TRUE
`stateProvince`,stateProvince,FALSE
`subclass`,subclass,FALSE
`subfamily`,subfamily,FALSE
`subgenus`,subgenus,FALSE
`subkingdom`,subkingdom,FALSE
`suborder`,suborder,FALSE
`subphylum`,subphylum,FALSE
`subsection`,subsection,FALSE
`subspecies`,subspecies,FALSE
`superclass`,superclass,FALSE
`superfamily`,superfamily,FALSE
`superorder`,superorder,FALSE
`taxonomicgroup`,taxonomicgroup,TRUE
`taxonomicStatus`,taxonomicStatus,FALSE
`taxonRank`,taxonRank,FALSE
`taxonRemarks`,taxonRemarks,FALSE
`tribe`,tribe,FALSE
`type`,type,FALSE
`typeStatus`,typeStatus,FALSE
`valid_id`,valid_id,TRUE
`variety`,variety,FALSE
`vernacularName`,vernacularName,FALSE
`waterBody`,waterBody,FALSE
`worms_id`,worms_id,TRUE
`year`,year,TRUE
